id;item;x;y;z
4739520096737755850;alpafantnest;-783,218079;85,7262802;-62,3564072
8649012369365346943;alpafantnest;-782,764893;85,8012772;-53,1166687
-5835922907748003616;alpafantnest;-779,639771;85,7379303;-59,2736511
24446519593974793;alpafantnest;-773,717407;85,7352295;-57,7902527
-1524785583995795408;alpafantnest;-729,953369;62,0265198;-639,53363
-6464209755424883031;alpafantnest;-726,909729;62,3630943;-647,311401
-7190262946048049530;alpafantnest;-724,168457;61,6468353;-643,303223
-6279177130063832917;alpafantnest;-719,781311;61,4599609;-639,057373
-359270337000196451;alpafantnest;-582,255554;96,805603;-194,798645
-8119224060091418404;alpafantnest;-577,695557;95,5552826;-197,988647
-2423973683977637574;alpafantnest;-472,118256;66,7802811;-209,100739
2657385716856097523;alpafantnest;-469,824707;66,9716187;-197,42395
6193875832708601564;alpafantnest;-467,617249;66,4012756;-199,912735
-1566849099083413276;alpafantnest;-467,447266;65,9012756;-206,252731
1665121640393917789;alpafantnest;-462,957245;66,1712799;-199,952728
-2604104560850760888;alpafantnest;-385,372253;107,714569;-549,850769
957911760041731231;alpafantnest;-382,279541;109,112091;-559,552979
791180631613245369;alpafantnest;-380,13562;108,779724;-552,989502
7807307549181566176;alpafantnest;-376,917572;57,2865868;-473,864227
8376947160727205937;alpafantnest;-375,564514;109,371094;-554,605957
-7904712427552548661;alpafantnest;-374,971466;57,6108894;-476,515198
-3071583316014753291;alpafantnest;-372,099609;75,2324219;-209,775391
8728690290988874608;alpafantnest;-369,166809;75,2576065;-207,183899
2052506210351241089;alpafantnest;-367,963501;75,3330765;-210,907227
8860935489957354728;alpafantnest;-363,110657;75,3081284;-214,913574
-7067606823656993853;alpafantnest;-360,770691;75,3261108;-209,410156
1826877360613667429;alpafantnest;-199,78418;77,9687195;-221,197876
1680809607516125765;alpafantnest;-197,52948;77,9676819;-217,70343
5891009576825618437;alpafantnest;-191,798706;77,313858;-220,549316
-5162915874537991082;alpafantnest;-120,262909;61,5456657;-131,200317
-7030568620174819733;alpafantnest;-119,889977;61,9680328;-127,079987
6471505154354909086;alpafantnest;-113,493057;61,5980339;-126,898987
7053295897553097171;alpafantnest;-31,5819397;49,6761131;684,117249
6915636830999087451;alpafantnest;-28,2034912;49,1594658;690,17572
2900675535381690706;alpafantnest;-26,4215088;49,130722;683,592285
-1963928992574478642;alpafantnest;274,01062;62,1968613;-234,110718
2367469996584564815;alpafantnest;275,922363;62,4352417;-228,786255
2472635733954851448;alpafantnest;282,483215;61,926857;-241,177261
-3871729228346474199;alpafantnest;288,893188;62,5386276;-241,153625
2825850767767133004;alpafantnest;353,986267;73,6549072;174,840454
6160854200857579101;alpafantnest;356,518188;73,7075424;169,99292
8209883359462252477;alpafantnest;358,541138;73,8237381;175,952942
4987221789487323797;alpafantnest;359,724609;73,633728;166,89856
-7295901953163345381;alpafantnest;362,490906;74,0997696;174,863647
-1275724578050471832;alpafantnest;443,743896;34,8312225;528,103271
-951964993365190724;alpafantnest;445,346313;34,3852882;518,95752
5681278727514277615;alpafantnest;447,67041;34,8300018;528,049561
-6452684407264053990;alpafantnest;448,74646;34,4000397;523,922241
8613631470823282393;alpafantnest;485,795715;52,9250755;-158,008286
-7812849943056225568;alpafantnest;490,920013;27,9400005;930,919983
-3802233151560380392;alpafantnest;492,117981;53,0569305;-157,431839
-8592374271050715433;alpafantnest;492,339996;28,1200008;933,669983
-8513930242278898610;alpafantnest;492,920013;28,0400009;928,530029
6626190609742954852;alpafantnest;494,040009;27,8700008;930,820007
-2299034532062650651;alpafantnest;494,833374;52,8586121;-162,724304
-2771844181663424777;alpafantnest;495,516083;28,0889988;933,859497
5411048661113655253;alpafantnest;499,59906;52,4276733;-169,382797
6554195743565578935;alpafantnest;501,032349;52,1778831;-163,8396
