type,item,item_id,amount,x,y,z,area
unique,Idea,,,-774.005,105.44,-162.855,
unique,Idea,,,-556.528,39.2788,783.98,
unique,Idea,,,-463.685,79.7058,-469.388,
unique,Idea,,,-463.436,79.7538,-469.22,
unique,Idea,,,-462.023,78.9668,-495.333,
unique,Idea,,,-461.932,78.2198,-495.221,
unique,Idea,,,-458.005,84.7228,-470.38,
unique,Idea,,,-397.857,155.886,273.067,
unique,Idea,,,-218.658,89.9704,139.791,
unique,Idea,,,-111.945,52.5762,-507.832,
unique,Idea,,,-62.9533,37.472,332.787,CouncilCave
unique,Idea,,,-60.074,37.287,326.865,CouncilCave
unique,Idea,,,83.8442,71.8242,-75.2045,
unique,Idea,,,87.5952,71.8942,-74.9505,
unique,Idea,,,116.922,80.9528,-199.715,
unique,Idea,,,426.039,197.923,836.507,NewHome
unique,Idea,,,428.374,197.109,835.552,NewHome
unique,Idea,,,467.77,56.106,441.32,AncientStables
unique,Idea,,,622.23,40.427,-598.338,
unique,Idea,,,671.59,44.6589,418.589,
unique,Idea,,,721.14,70.8318,84.1213,
unique,Idea,,,808.833,-2.547,-155.268,GobbledewTomb
